Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,55.1,40.2,270,top
C2,1uF,C_0603_1608Metric,50.9,20,270,top
C3,4.7uF,C_0805_2012Metric,76.1,147.7375,270,top
C4,1uF,C_0603_1608Metric,50.9,14,270,top
C5,1uF,C_0603_1608Metric,54,26.8,270,top
C6,100nF,C_0603_1608Metric,37.4,65.4,270,top
C7,100nF,C_0603_1608Metric,35.2,97.4,180,top
C8,100nF,C_0603_1608Metric,41.3,65,270,top
C9,1nF,C_0603_1608Metric,104.3,68.7,90,top
C10,1uF,C_0603_1608Metric,56.2,34.1,270,top
C11,100nF,C_0603_1608Metric,71.2,92.7875,90,top
C12,20pF,C_0603_1608Metric,64.6,84.7,270,top
C13,100nF,C_0603_1608Metric,64.5005,92.6405,90,top
C14,1nF,C_0603_1608Metric,104.1,73.1,90,top
C15,20pF,C_0603_1608Metric,72.6,84.9,270,top
C16,100nF,C_0603_1608Metric,43.2,80.4,90,top
C17,100nF,C_0603_1608Metric,57.8,94.6,0,top
C18,100nF,C_0603_1608Metric,48.6,94.9,0,top
C19,100nF,C_0603_1608Metric,57,78.2,180,top
C20,1nF,C_0603_1608Metric,104.9,63.6,90,top
C21,1uF,C_0603_1608Metric,37.7,107.1,270,top
C22,47n,C_0603_1608Metric,128.9,51.7,270,top
C23,100uF,CP_EIA-3528-21_Kemet-B,98.5,55.6,270,top
C24,47n,C_0603_1608Metric,137.6,53.8,270,top
C25,100nF,C_0603_1608Metric,115.4,42.7875,90,top
C26,1uF,C_0603_1608Metric,55.3,45.6,270,top
C27,22nf,C_0603_1608Metric,126.6,57.6,270,top
C28,100nF,C_0603_1608Metric,136.7,57.7,270,top
C29,1uF,C_0603_1608Metric,11.1,92,90,top
C30,1uF,C_0603_1608Metric,11.5,85.8,90,top
C31,22nf,C_0603_1608Metric,120.8125,46.7,0,top
C32,100nF,C_0603_1608Metric,117.3,62.6,90,top
C33,100nF,C_0603_1608Metric,146.7,52.9,0,top
C34,100nF,C_0603_1608Metric,133.2,41.7,180,top
C35,20pf,C_0603_1608Metric,71.1,39.2875,90,top
C36,20pf,C_0603_1608Metric,65.7,39.3125,270,top
C37,100nF,C_0603_1608Metric,77.4,35.8,180,top
C38,100nF,C_0603_1608Metric,77.7,41.9,90,top
C39,100nF,C_0603_1608Metric,72.8,55.4,180,top
C40,20pf,C_0603_1608Metric,81.7,17.3875,90,top
C41,100nF,C_0603_1608Metric,71.6,16.4,180,top
C42,20pf,C_0603_1608Metric,118.3,71.4,270,top
C43,20pf,C_0603_1608Metric,76,17.4,270,top
C44,100nF,C_0603_1608Metric,77.3125,37.6,180,top
C45,100nF,C_0603_1608Metric,71.5125,19.3,180,top
C46,100nF,C_0603_1608Metric,69.4,32.9,270,top
C47,100nF,C_0603_1608Metric,66.4,6.2,90,top
C48,100nF,C_0603_1608Metric,92.7,24.5,90,top
C49,1uF,C_0603_1608Metric,108.9,6,270,top
C50,4.7uF,C_0805_2012Metric,56,148.4,270,top
C51,4.7uF,C_0805_2012Metric,58.7,145.4,180,top
C52,4.7uF,C_0805_2012Metric,62.5625,145.2,0,top
C53,22nf,C_0603_1608Metric,44.1,144.3125,90,top
